17:04:58.154865;(0.0, 0.0, 0.0);(0.0, 0.0)
17:04:58.197489;(0.0, 0.0, 0.0);(0.0, 0.0)
17:04:58.237643;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.276273;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.315407;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.358231;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.400014;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.435606;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.474677;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.517316;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.560974;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.596039;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.634583;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.678065;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.718038;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.758621;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.797307;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.836804;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.876554;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.916494;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
17:04:58.954263;(525.821854208126, -263.54316047430166, 0.8496658665794448);(0.2053491262776106, 0.23449048296762953)
